LINK,Pob
60350101,2578
60350102,1648
60350103,757
60350104,723
60350105,480
60350106,742
60350107,775
60350108,505
60350109,476
60350110,1016
60350111,948
60350201,1074
60350202,1136
60350203,1181
60350301,999
60350302,1272
60350303,951
60350304,999
60350305,727
60350306,1036
60350307,900
60350308,820
60350309,540
60350310,670
60350311,982
60350312,750
60350313,1049
60350314,811
60350315,947
60350401,1417
60350402,872
60350403,1081
60350404,1362
60350405,1145
60350406,1033
60350407,1071
60350408,864
60350409,1408
60350410,732
60350411,1353
60350412,918
60350413,951
60350414,728
60350415,692
60350501,596
60350502,1241
60350503,730
60350504,1143
60350505,3232
60350506,1679
60350507,1490
60350508,985
60350509,876
60350510,852
60350511,760
60350512,778
60350601,1086
60350602,1083
60350603,952
60350604,795
60350605,881
60350606,961
60350607,589
60350608,880
60350609,1137
60350610,917
60350611,797
60350612,947
60350701,718
60350702,1151
60350703,919
60350704,840
60350705,835
60350706,1103
60350707,598
60350708,318
60350709,337
60350710,403
60350711,641
60350712,285
60350801,986
60350802,673
60350803,1132
60350804,1024
60350805,414
60350806,737
60350807,704
60350808,680
60350809,833
60350810,603
60350811,799
60350812,3210
60350813,1317
60350814,689
60350815,1786
60350901,780
60350902,676
60350903,592
60350904,2610
60350905,875
60350906,754
60350907,978
60350908,1263
60350909,624
60350910,1478
60350911,1235
60350912,633
60350913,871
60350914,776
60351001,744
60351002,2113
60351003,916
60351004,967
60351005,569
60351006,751
60351007,814
60351008,456
60351009,312
60351010,742
60351011,650
60351012,647
60351101,579
60351102,972
60351103,510
60351104,830
60351105,1374
60351106,872
60351107,344
60351108,928
60351109,561
60351110,836
60351201,653
60351202,850
60351203,407
60351204,364
60351205,836
60351206,515
60351207,362
60351208,1119
60351209,253
60351210,789
60351211,825
60351212,558
60351301,979
60351302,902
60351303,746
60351304,790
60351305,721
60351306,633
60351307,638
60351308,683
60351309,475
60351310,627
60351401,722
60351402,554
60351403,937
60351404,852
60351405,635
60351406,546
60351407,528
60351408,891
60351409,665
60351410,830
60351411,559
60351412,639
60351413,614
60351501,779
60351502,812
60351503,861
60351504,771
60351505,1018
60351506,1460
60351507,992
60351508,871
60351509,750
60351510,678
60351511,770
60351512,640
60351601,474
60351602,928
60351603,871
60351604,391
60351605,803
60351606,820
60351607,581
60351608,1020
60351609,907
60351610,964
60351611,721
60351701,813
60351702,795
60351703,866
60351704,866
60351705,1048
60351706,748
60351707,882
60351708,778
60351709,742
60351710,1070
60351711,665
60351801,843
60351802,915
60351803,753
60351804,749
60351805,761
60351806,888
60351807,665
60351808,654
60351809,840
